PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
P.J. Tucker,37,PHI,2022-07-06,Veteran Contract,MLE,0,2.5,33043500.0,11014500.0,0,1,1,1,0
Nicolas Batum,33,LAC,2022-07-06,Veteran Contract,Early-Bird Exception,0,2.0,22554168.0,11277084.0,0,1,1,0,0
Victor Oladipo,30,MIA,2022-07-06,Veteran Contract,Bird Exception,0,1.5,18200000.0,9100000.0,1,1,0,0,0
Bismack Biyombo,29,PHX,2022-07-03,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,0,1
Josh Okogie,23,PHX,2022-07-02,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,0,1,0,0,0
Damion Lee,29,PHX,2022-07-01,Veteran Contract,Minimum Salary Exception,0,1.0,2133278.0,2133278.0,0,1,0,0,0
Davon Reed,27,DEN,2022-07-01,Veteran Contract,Minimum Salary Exception,0,2.0,3968718.0,1984359.0,0,1,0,0,0
Anthony Gill,29,WAS,2022-07-01,Veteran Contract,Minimum Salary Exception,0,2.0,3833328.0,1916664.0,0,0,0,1,0
Damian Jones,27,LAL,2022-07-01,Veteran Contract,Minimum Salary Exception,0,1.5,4885050.0,2442525.0,0,0,0,0,1
Juan Toscano-Anderson,29,LAL,2022-07-01,Veteran Contract,Minimum Salary Exception,0,1.0,1902133.0,1902133.0,0,0,1,0,0
Troy Brown Jr.,22,LAL,2022-07-01,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,0,1,1,0,0
Trevelin Queen,25,PHI,2022-07-01,Veteran Contract,Minimum Salary Exception,0,2.0,3565862.0,1782931.0,0,1,0,0,0
Gary Harris,27,ORL,2022-06-30,Veteran Extension,Bird Exception,1,2.0,26000000.0,13000000.0,0,1,0,0,0
Taurean Prince,28,MIN,2022-06-30,Veteran Extension,Bird Exception,1,2.0,16685000.0,8342500.0,0,0,1,0,0
Thaddeus Young,34,TOR,2022-06-30,Veteran Extension,Bird Exception,0,2.0,17300000.0,8650000.0,0,0,0,1,0
Ivica Zubac,25,LAC,2022-06-28,Veteran Extension,Bird Exception,1,3.0,32800000.0,10933333.0,0,0,0,0,1
